Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2u2,C_1206_3216Metric,24.384,-35.433,-90.0,top
C10,4u7,C_0402_1005Metric_small_pads,26.035,-41.529,0.0,top
C11,4u7,C_0402_1005Metric_small_pads,22.225,-51.181,-90.0,top
C12,100n,C_0402_1005Metric,17.145,-45.339,180.0,top
C13,100n,C_0402_1005Metric,22.606,-41.021,90.0,top
C14,100n,C_0402_1005Metric,27.432,-45.085,0.0,top
C15,100n,C_0402_1005Metric_small_pads,25.753,-51.181,-90.0,top
C16,100n,C_0402_1005Metric,17.653,-43.434,-90.0,top
C17,100n,C_0402_1005Metric_small_pads,17.145,-47.117,180.0,top
C18,100n,C_0402_1005Metric_small_pads,20.701,-51.181,-90.0,top
C19,100n,C_0402_1005Metric,27.432,-41.021,-90.0,top
C2,15p,C_0402_1005Metric,19.05,-54.229,-90.0,top
C20,100n,C_0402_1005Metric,25.4,-61.722,0.0,top
C3,15p,C_0402_1005Metric,23.241,-54.074,-90.0,top
C4,100n,C_0402_1005Metric,17.399,-31.75,90.0,top
C5,4u7,C_0402_1005Metric_small_pads,24.257,-41.529,0.0,top
C6,100n,C_0402_1005Metric,22.733,-35.433,-90.0,top
C7,4u7,C_0402_1005Metric_small_pads,24.257,-40.64,0.0,top
C8,10u,C_0402_1005Metric,28.321,-41.021,-90.0,top
C9,100n,C_0402_1005Metric,27.432,-44.196,0.0,top
J1,Conn_01x02_Pin,AMASS_XT30PW-M_1x02_P2.50mm_Horizontal,22.9,-26.005,0.0,top
J3,SM03B-SRSS-TB,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,26.924,-54.864,90.0,top
J5,Bus Out,JST_EH_S4B-EH_1x04_P2.50mm_Horizontal,22.86,-64.1425,180.0,top
L1,3.3u,L_pol_2016,27.432,-38.862,0.0,top
L2,3u3,L_pol_2016,24.257,-39.116,0.0,top
R1,10K,R_0402_1005Metric,27.432,-42.418,180.0,top
R2,1K,R_0402_1005Metric,27.432,-43.307,0.0,top
R3,1K,R_0402_1005Metric,23.241,-52.197,-90.0,top
R4,1K,R_0402_1005Metric,28.702,-44.704,90.0,top
R5,33R,R_0402_1005Metric,26.035,-40.64,180.0,top
R6,10K,R_0402_1005Metric,17.145,-46.228,180.0,top
R7,120R,R_0402_1005Metric,23.749,-59.182,-90.0,top
SW1,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,28.067,-48.684,-90.0,top
U1,W25Q128JVS,SOIC-8_5.3x5.3mm_P1.27mm,19.304,-37.338,90.0,top
U2,LMR50410Y3FQDBVRQ1,DBV0006A-MFG,27.178,-35.433,90.0,top
U3,RP2350_60QFN,RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias,22.225,-46.101,0.0,top
U4,MAX3078E,SOIC-8_3.9x4.9mm_P1.27mm,19.558,-59.182,0.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,21.082,-54.229,-90.0,top
